,y
1024,395000
1025,590000
1026,358000
1027,1148000
1028,1260000
1029,250000
1030,155000
1031,299000
1032,565000
1033,725000
1034,460000
1035,395000
1036,240000
1037,355000
1038,1090000
1039,1250000
1040,435500
1041,235000
1042,299000
1043,845000
1044,255500
1045,198000
1046,416000
1047,385000
1048,2350000
1049,590000
1050,178000
1051,470000
1052,495000
1053,169000
1054,265000
1055,555000
1056,220000
1057,255000
1058,1600000
1059,500000
1060,219000
1061,329000
1062,850000
1063,1860000
1064,345000
1065,449000
1066,649000
1067,420000
1068,215000
1069,440000
1070,240000
1071,420000
1072,350000
1073,320000
1074,295000
1075,298000
1076,530000
1077,360000
1078,258000
1079,185000
1080,450000
1081,480000
1082,550000
1083,180000
1084,630000
1085,295000
1086,365000
1087,406952
1088,645000
1089,880000
1090,315000
1091,305000
1092,165000
1093,1470000
1094,340000
1095,339000
1096,400000
1097,1450000
1098,570000
1099,320000
1100,399000
1101,396000
1102,260000
1103,695000
1104,680000
1105,288000
1106,498000
1107,380000
1108,232000
1109,583800
1110,610000
1111,533000
1112,260000
1113,235000
1114,1100000
1115,489000
1116,620000
1117,980000
1118,318000
1119,369000
1120,644000
1121,520000
1122,850000
1123,255000
1124,2350000
1125,318000
1126,159000
1127,318000
1128,355000
1129,288000
1130,179000
1131,465000
1132,630000
1133,320000
1134,750000
1135,380000
1136,670000
1137,230000
1138,340000
1139,310000
1140,250000
1141,424000
1142,1300000
1143,269000
1144,370000
1145,1700000
1146,550000
1147,1200000
1148,157000
1149,1700000
1150,799000
1151,330000
1152,205000
1153,630000
1154,248000
1155,389000
1156,225000
1157,750000
1158,299000
1159,620000
1160,550000
1161,365000
1162,650000
1163,2050000
1164,199000
1165,165000
1166,360000
1167,640000
1168,690000
1169,135000
1170,285000
1171,490000
1172,289000
1173,2500000
1174,750000
1175,850000
1176,555000
1177,345000
1178,350000
1179,260000
1180,220000
1181,480000
1182,260000
1183,1420000
1184,239000
1185,720000
1186,275000
1187,165000
1188,345000
1189,500000
1190,298000
1191,595000
1192,1050000
1193,150000
1194,410000
1195,390000
1196,335000
1197,880000
1198,499000
1199,1290000
1200,650000
1201,1280000
1202,370000
1203,450000
1204,315000
1205,495000
1206,205000
1207,287000
1208,1274000
1209,545000
1210,390000
1211,500000
1212,480000
1213,1800000
1214,380000
1215,275000
1216,478000
1217,499000
1218,1300000
1219,950000
1220,370000
1221,980000
1222,245000
1223,1800000
1224,670000
1225,505000
1226,649000
1227,339000
1228,549000
1229,390000
1230,413000
1231,215000
1232,142000
1233,430000
1234,214000
1235,665000
1236,249000
1237,198000
1238,230000
1239,250000
1240,570000
1241,1100000
1242,225000
1243,227000
1244,336000
1245,279000
1246,210000
1247,199000
1248,199000
1249,1650000
1250,1070000
1251,210000
1252,145000
1253,265000
1254,230000
1255,430000
1256,195000
1257,940000
1258,263000
1259,395000
1260,279000
1261,590000
1262,329000
1263,795000
1264,249000
1265,798000
1266,360000
1267,1500000
1268,268000
1269,135000
1270,910000
1271,550000
1272,640000
1273,880000
1274,435000
1275,499000
1276,480000
1277,675000
1278,239000
1279,310000
1280,520000
1281,144000
1282,275000
1283,520000
1284,945000
1285,260000
1286,280000
1287,310000
1288,760000
1289,925000
1290,235000
1291,510000
1292,200000
1293,350000
1294,840000
1295,280000
1296,325000
1297,1100000
1298,325000
1299,180000
1300,689000
1301,238000
1302,320000
1303,320000
1304,2590000
1305,295000
1306,265000
1307,690000
1308,255000
1309,615000
1310,315000
1311,450000
1312,345000
1313,155000
1314,295000
1315,620000
1316,990000
1317,290000
1318,775000
1319,760000
1320,245000
1321,515000
1322,475000
1323,750000
1324,395000
1325,175000
1326,508000
1327,330000
1328,1897500
1329,595000
1330,324000
1331,215000
1332,359000
1333,285000
1334,450000
1335,330000
1336,510000
1337,440000
1338,489000
1339,299000
1340,550000
1341,270000
1342,420000
1343,285000
1344,199000
1345,164000
1346,1200000
1347,539000
1348,238000
1349,928000
1350,739000
1351,898000
1352,155000
1353,269000
1354,671000
1355,350000
1356,1150000
1357,335000
1358,595000
1359,690000
1360,319000
1361,890000
1362,189000
1363,198000
1364,395000
1365,612000
1366,1150000
1367,149000
1368,435000
1369,196000
1370,135000
1371,250000
1372,480000
1373,620000
1374,420000
1375,320000
1376,205000
1377,550000
1378,550000
1379,285000
1380,149000
1381,1070000
1382,365000
1383,795000
1384,1090000
1385,228000
1386,495000
1387,230000
1388,330000
1389,600000
1390,780000
1391,240000
1392,390000
1393,210000
1394,330000
1395,389000
1396,220000
1397,1170000
1398,680000
1399,1285000
1400,258000
1401,650000
1402,470000
1403,125000
1404,377000
1405,695000
1406,93000
1407,490000
1408,180000
1409,229000
1410,780000
1411,160000
1412,137000
1413,940000
1414,660000
1415,407200
1416,525000
1417,750000
1418,565000
1419,324000
1420,620000
1421,360000
1422,1650000
1423,425000
1424,931000
1425,399000
1426,790000
1427,890000
1428,340000
1429,590000
1430,525000
1431,345000
1432,350000
1433,590000
1434,540000
1435,400000
1436,239000
1437,1790000
1438,709000
1439,245000
1440,470000
1441,235000
1442,725000
1443,793000
1444,1150000
1445,690000
1446,228000
1447,675000
1448,190000
1449,290000
1450,1116000
1451,1600000
1452,279000
1453,169000
1454,840000
1455,170000
1456,340000
1457,850000
1458,1300000
1459,430000
1460,350000
1461,319000
1462,210100
1463,370000
1464,534000
1465,460000
1466,249000
1467,980000
1468,870000
1469,730000
1470,340000
1471,360000
1472,1560000
1473,895000
1474,388000
1475,229000
1476,1479400
1477,830000
1478,189000
1479,300000
1480,720000
1481,2950000
1482,845000
1483,930000
1484,2400000
1485,780000
1486,495000
1487,249000
1488,470000
1489,255000
1490,1014300
1491,450000
1492,1690000
1493,2700000
1494,445000
1495,339000
1496,1900000
1497,1190000
1498,349000
1499,970000
1500,320000
1501,125000
1502,940000
1503,188000
1504,248000
1505,289500
1506,220000
1507,693000
1508,486000
1509,340000
1510,1550000
1511,800000
1512,230000
1513,580000
1514,258000
1515,1100000
1516,550000
1517,435000
1518,330000
1519,345000
1520,160000
1521,1750000
1522,790000
1523,380000
1524,560000
1525,279000
1526,188000
1527,460000
1528,350000
1529,1650000
1530,390000
1531,890000
1532,679000
1533,590000
1534,1640000
1535,349000
1536,545000
1537,710000
1538,500000
1539,237685
1540,258000
1541,271000
1542,229000
1543,170000
1544,380000
1545,25629
1546,950000
1547,539000
1548,512000
1549,580000
1550,200000
1551,397000
1552,1250000
1553,230000
1554,1084000
1555,270000
1556,299000
1557,265000
1558,845000
1559,339000
1560,209000
1561,299000
1562,278000
1563,1040000
1564,2670000
1565,180000
1566,148000
1567,1200000
1568,605000
1569,1140000
1570,380000
1571,179000
1572,1595000
1573,275000
1574,988000
1575,598000
1576,149000
1577,319000
1578,290000
1579,340000
1580,890000
1581,630000
1582,205000
1583,350000
1584,220000
1585,839000
1586,780000
1587,615000
1588,285000
1589,1050000
1590,990000
1591,305000
1592,520000
1593,395000
1594,575000
1595,150000
1596,499000
1597,1520000
1598,495000
1599,450000
1600,345000
1601,545000
1602,1520000
1603,1270000
1604,129000
1605,429000
1606,349000
1607,530000
1608,189000
1609,800000
1610,340000
1611,339000
1612,129000
1613,330000
1614,480000
1615,380000
1616,349000
1617,510000
1618,290000
1619,369000
1620,199000
1621,298000
1622,1293750
1623,250000
1624,255000
1625,1240000
1626,225000
1627,363000
1628,248000
1629,950000
1630,175000
1631,1285000
1632,2200000
1633,445000
1634,590000
1635,560000
1636,339000
1637,720000
1638,410000
1639,890000
1640,830000
1641,1810000
1642,440000
1643,685000
1644,805000
1645,314000
1646,265000
1647,239000
1648,495000
1649,478000
1650,745000
1651,390000
1652,155000
1653,275000
1654,646000
1655,315000
1656,380000
1657,890000
1658,203000
1659,325000
1660,590000
1661,195000
1662,1030000
1663,1900000
1664,285000
1665,325000
1666,245000
1667,578000
1668,920000
1669,195000
1670,308000
1671,170000
1672,410000
1673,180000
1674,290000
1675,500000
1676,450000
1677,220000
1678,345000
1679,778000
1680,160000
1681,395000
1682,315000
1683,198000
1684,230000
1685,630000
1686,219000
1687,425000
1688,165000
1689,198000
1690,715000
1691,149000
1692,225000
1693,520000
1694,359000
1695,639000
1696,179000
1697,380000
1698,638000
1699,105000
1700,345000
1701,229000
1702,615000
1703,535000
1704,435000
1705,595000
1706,300000
1707,1050000
1708,310000
1709,820000
1710,539000
1711,458000
1712,695000
1713,590000
1714,1250000
1715,1520000
1716,1040000
1717,448000
1718,359000
1719,295000
1720,270000
1721,498000
1722,269000
1723,273600
1724,650000
1725,715000
1726,1050000
1727,490000
1728,459000
1729,250000
1730,345000
1731,770000
1732,300000
1733,302000
1734,365000
1735,280000
1736,728000
1737,770000
1738,319000
1739,1155000
1740,249000
1741,280000
1742,370000
1743,580000
1744,785000
1745,485000
1746,199000
1747,275000
1748,345000
1749,1080000
1750,1200000
1751,155000
1752,1300000
1753,478000
1754,1630000
1755,199000
1756,730000
1757,685000
1758,435000
1759,1099000
1760,240000
1761,235000
1762,220000
1763,533000
1764,240000
1765,239000
1766,1292000
1767,199000
1768,890000
1769,329000
1770,799000
1771,248000
1772,650000
1773,199000
1774,1900000
1775,535000
1776,290000
1777,429000
1778,399000
1779,585000
1780,370000
1781,210000
1782,586000
1783,215000
1784,354000
1785,482000
1786,215000
1787,900000
1788,535000
1789,350000
1790,335000
1791,427000
1792,520000
1793,675000
1794,155000
1795,410000
1796,200000
1797,1400000
1798,215000
1799,441000
1800,360000
1801,675000
1802,795000
1803,659000
1804,480000
1805,790000
1806,280000
1807,980000
1808,490000
1809,600000
1810,340000
1811,140000
1812,330000
1813,1318000
1814,1080000
1815,419000
1816,380000
1817,630000
1818,396000
1819,239000
1820,100000
1821,660000
1822,370000
1823,583900
1824,770000
1825,730000
1826,1040000
1827,1770000
1828,350000
1829,760000
1830,330000
1831,630000
1832,590000
1833,649000
1834,258000
1835,2300000
1836,240000
1837,719000
1838,230000
1839,530000
1840,365000
1841,280000
1842,2200000
1843,486000
1844,189000
1845,250000
1846,920000
1847,695000
1848,258000
1849,1680000
1850,273000
1851,1790000
1852,157000
1853,248000
1854,440000
1855,618000
1856,215000
1857,390000
1858,204000
1859,299000
1860,499000
1861,529000
1862,289000
1863,455000
1864,1500000
1865,270000
1866,470000
1867,365000
1868,286000
1869,1085000
1870,496000
1871,205000
1872,859000
1873,2800000
1874,520000
1875,889000
1876,193000
1877,396000
1878,245000
1879,350000
1880,300000
1881,387000
1882,625000
1883,500000
1884,342000
1885,419000
1886,275000
1887,630000
1888,690000
1889,385000
1890,185000
1891,100000
1892,500000
1893,980000
1894,188000
1895,558000
1896,249000
1897,598000
1898,2100000
1899,238000
1900,510000
1901,490000
1902,269000
1903,220000
1904,247000
1905,410000
1906,1930000
1907,220000
1908,305000
1909,336000
1910,129000
1911,792000
1912,550000
1913,1240000
1914,480000
1915,285000
1916,259000
1917,225000
1918,278000
1919,559000
1920,1275000
1921,264925
1922,400000
1923,290000
1924,335000
1925,210000
1926,225000
1927,260000
1928,320000
1929,269000
1930,1780000
1931,149000
1932,430000
1933,880000
1934,195000
1935,850000
1936,165000
1937,480000
1938,675000
1939,233000
1940,233000
1941,420000
1942,360000
1943,1220000
1944,390000
1945,540000
1946,210000
1947,1250000
1948,1100000
1949,155000
1950,780000
1951,240000
1952,457000
1953,399000
1954,1840000
1955,234000
1956,2480000
1957,330000
1958,900000
1959,1382500
1960,398000
1961,365000
1962,1740000
1963,227000
1964,765000
1965,295000
1966,207000
1967,340000
1968,549000
1969,310000
1970,209000
1971,460000
1972,325000
1973,120000
1974,449000
1975,1078000
1976,245000
1977,639000
1978,1540000
1979,836000
1980,495000
1981,890000
1982,235000
1983,740000
1984,1260000
1985,850000
1986,370000
1987,500000
1988,500000
1989,310000
1990,945000
1991,215000
1992,365000
1993,350000
1994,249000
1995,359000
